ID,SMILES,0.0.1uM_threshold,1.0uM_threshold,1.00uM_threshold,1.000uM_threshold
223,CC(=O)O[C@H]1C[C@@H](OC(=O)c2ccccc2)C(C)(C)[C@@H]2C[C@@H](OC(C)=O)[C@@]3(C)C4=CC[C@@H](C5COC(C)(C)[C@@H](O)[C@H](O)C5)[C@]4(C)CC[C@@H]3[C@@]12C,0.0,0.0,0.0,0.0
616,CCN(CC)C(=O)C=C(C)C=CCC(C)CCC=C(C)C,0.0,0.0,0.0,1.0
630,CCOC(=O)C=C(C)CCCC(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
303,CCCCNC(=O)c1c(CSc2ccccc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
505,CC(C)=CCCC(C)CC=CC(C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
582,CCN(CC)C(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
556,CCC(=CCCC(C)=CC(=O)OC)CCC1OC1(C)CC,0.0,1.0,1.0,1.0
116,NC(=S)N/N=C/COc1cccc(Cl)c1,0.0,0.0,0.0,0.0
507,CCCC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
502,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
131,C#CCCCCCCCCCCC1=C[C@H](C)OC1=O,0.0,0.0,1.0,1.0
79,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.0,0.0,0.0,0.0
329,Cc1cc(C)cc(SCc2noc(C(=O)NC(C)C)c2C(=O)NC(C)C)c1,0.0,0.0,0.0,0.0
282,CCCCNC(=O)c1onc(CS(=O)(=O)c2ccc(Cl)cc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
263,C=CCNC(=O)c1c(CS(=O)(=O)c2ccc(Cl)cc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
92,CC(C)=CCCC(C)CC=O,0.0,0.0,0.0,0.0
518,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,1.0,1.0,1.0
28,C/N=C(/NCC1CCOC1)N[N+](=O)[O-],0.0,0.0,1.0,1.0
168,Cc1cccc(-c2noc(CCCC(=O)O)n2)c1,0.0,0.0,0.0,0.0
328,COCCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
82,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)[C@H]12,0.0,0.0,0.0,0.0
