ID,SMILES,0.0.1uM_threshold,1.0uM_threshold,1.00uM_threshold,1.000uM_threshold
435,CCCCCCCCCC(C)=O,0.0,0.0,0.0,0.0
290,CC(C)NC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
505,CC(C)=CCCC(C)CC=CC(C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
320,CCCNC(=O)c1onc(CSc2cc(C)cc(C)c2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
580,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)N(C)C,0.0,1.0,1.0,1.0
289,COc1cccc(SCc2noc(C(=O)NCc3ccccc3)c2C(=O)NCc2ccccc2)c1,0.0,0.0,0.0,0.0
402,C=C(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.0,0.0,0.0,0.0
478,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)Cl,1.0,1.0,1.0,1.0
593,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OCCC(C)C,0.0,0.0,1.0,1.0
545,CCOC(=O)C=C(C)C=CCC(C)CCC(O)C(C)C,0.0,1.0,1.0,1.0
484,CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
583,CCOC(=O)C=C(C)CCCC(C)CCC1OC1(C)C,0.0,0.0,1.0,1.0
240,COc1ccccc1NC(=S)NCCN(C)C,0.0,0.0,0.0,0.0
47,Oc1ccc(O)c2ccccc12,0.0,0.0,0.0,1.0
485,C=CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
492,C=CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
308,CCCCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
252,CC(C)NC(=O)/C=C/C=C/CCCCCCc1ccc2c(c1)OCO2,0.0,0.0,1.0,1.0
495,C=C(C)CCCC(C)CC=CC(C)=CC(=O)OCC,1.0,1.0,1.0,1.0
174,Cc1ccc(-c2noc(CC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
549,CCOC(=O)C=C(C)C=CC(C)C(C)CCCC(C)C,0.0,1.0,1.0,1.0
176,O=C([O-])CCCc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
94,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.0,0.0,0.0,0.0
341,CCCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
161,Cc1ccc(-c2noc(CCC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
582,CCN(CC)C(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
140,O=C(O)CCc1nc(-c2ccc(Br)cc2)no1,0.0,0.0,0.0,1.0
267,CCCCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
420,CCOc1cc(C)ccc1C(C)C,0.0,0.0,0.0,0.0
92,CC(C)=CCCC(C)CC=O,0.0,0.0,0.0,0.0
497,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)C1N=N1,1.0,1.0,1.0,1.0
429,Cc1ccc(C(C)C)c(OC(=O)C(Cl)(Cl)Cl)c1,0.0,0.0,0.0,0.0
428,COc1ccccc1O,0.0,0.0,0.0,0.0
274,COCCNC(=O)c1onc(CSc2ccccc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
465,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)O,1.0,1.0,1.0,1.0
521,CCOC(=O)C=C(Cl)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
380,O=C(CC[N+](=O)[O-])OC[C@H]1O[C@@H](OC(=O)CC[N+](=O)[O-])[C@H](OC(=O)CC[N+](=O)[O-])[C@@H](OC(=O)CC[N+](=O)[O-])[C@@H]1O,0.0,0.0,0.0,0.0
499,CCC(C=CCC(C)CCCC(C)(C)OC)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
606,CCOC(=O)C=C(C)C=CCC(C)CCC(OC)C(C)(C)OC,0.0,0.0,0.0,1.0
424,C=CCc1ccc(OCC(=O)O)c(OC)c1,0.0,0.0,0.0,0.0
253,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,0.0,0.0,1.0,1.0
133,CC(C)CNC(=O)/C=C/C=C/CCCCCC/C=C/c1ccc2c(c1)OCO2,0.0,0.0,1.0,1.0
430,Cc1ccc(C(C)C)c(OC(=O)CCl)c1,0.0,0.0,0.0,0.0
75,CC1=CCC(C(C)C)=CC1,0.0,0.0,0.0,0.0
446,CC(=O)Oc1cc(C)ccc1C(C)C,0.0,0.0,0.0,0.0
342,CC(C)NC(=O)c1onc(CSc2ccccn2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
488,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC1CCCC1,1.0,1.0,1.0,1.0
117,NC(=S)N/N=C/c1ccc(F)cc1,0.0,0.0,0.0,0.0
419,C=CCc1ccc(OC(C)=O)c(OC)c1,0.0,0.0,0.0,0.0
559,CCOC(=O)C=C(C)C=CCC(C)CC=CC(C)C,0.0,1.0,1.0,1.0
601,CCNC(=O)C=C(C)C=CCC(C)CCC=C(C)C,0.0,0.0,1.0,1.0
530,CCC(C)C(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
584,CC#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,0.0,1.0,1.0
265,COc1cccc(SCc2noc(C(=O)NCCC(C)C)c2C(=O)NCCC(C)C)c1,0.0,0.0,0.0,0.0
1,CC1(C)[C@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,1.0,1.0,1.0,1.0
325,CC(C)CCNC(=O)c1onc(CSc2ccccn2)c1C(=O)NCCC(C)C,0.0,0.0,0.0,0.0
110,CN1c2c(F)cc(F)cc2[C@@H]2C=CC[C@@H]2[C@@H]1c1cccnc1,0.0,0.0,0.0,1.0
607,CCC(=CC(=O)OC)CCC=C(CC)CCC1OC1(C)CC,0.0,0.0,1.0,1.0
439,Cc1ccc(C(C)C)c(C=O)c1O,0.0,0.0,0.0,0.0
219,CCCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCC[C@H](O)CCCCCC2CC(CC(C)=O)C(=O)O2)O1,0.0,0.0,0.0,1.0
473,CCC(=O)C=C(C)CCC=C(C)CCC1OC1(C)C,1.0,1.0,1.0,1.0
611,COC(C)(C)CCCC(C)CC=CC(C)=CCO,0.0,0.0,1.0,1.0
126,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1.0,1.0,1.0,1.0
536,CCOC(=O)C=C(C)CCCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
164,Cc1ccccc1-c1noc(CCC(=O)O)n1,0.0,0.0,0.0,0.0
533,CCc1ccc(OCCC(CC)CCC2OC2(C)CC)cc1,0.0,1.0,1.0,1.0
408,C=C(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,0.0,0.0,0.0,0.0
170,O=C(O)CCc1nc(-c2ccc(F)cc2)no1,0.0,0.0,0.0,0.0
494,CSC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
507,CCCC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
475,CSC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
204,CCCCCCCCCCCCCCCC(O)CC(O)CO,0.0,0.0,1.0,1.0
44,CNC(=O)Oc1ccccc1OC(C)C,0.0,0.0,0.0,1.0
534,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
113,NC(=S)N/N=C/C=C/c1ccccc1,0.0,0.0,0.0,0.0
470,C=CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
119,COc1ccc(OC/C=N/NC(N)=S)cc1,0.0,0.0,0.0,0.0
603,CCOC(=O)C=C(C)C=C(C)CC(C)CCCC(C)C,0.0,0.0,1.0,1.0
17,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.0,1.0,1.0,1.0
323,C=CCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
372,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1cccnc1)N2,0.0,0.0,0.0,0.0
333,CC(C)NC(=O)c1onc(CS(=O)(=O)c2ccccc2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
519,CCCC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
271,CCCCNC(=O)c1onc(CS(=O)(=O)c2ccccc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
